GSS_Code,Borough_Name,Year,The_number_of_crime,Population_density,Employment,Education,Income_level,Homelessness
E09000007,Camden,2021,28111,11902.4,394,66.8,119000,666
E09000012,Hackney,2021,30978,15330.1,150,71.1,52500,229
E09000014,Haringey,2021,29106,9842.8,88,56.2,57100,268
E09000019,Islington,2021,24952,16448.7,254,67.5,76600,238
E09000022,Lambeth,2021,32226,12765.7,170,75.7,56100,438
E09000025,Newham,2021,34111,10137,141,57.6,36100,428
E09000028,Southwark,2021,31893,11526.5,300,57.1,57800,388
E09000030,Tower Hamlets,2021,33264,16764.3,323,52,55500,297
E09000031,Waltham Forest,2021,22455,7544.5,82,60.3,40100,153
E09000033,Westminster,2021,50925,12208.2,759,68.9,133000,1698
E09000007,Camden,2020,29574,11812.4,383,65.3,107000,630
E09000012,Hackney,2020,30718,15197,151,60.6,49400,350
E09000014,Haringey,2020,28856,9761.1,91,65.2,50200,405
E09000019,Islington,2020,25456,16344.7,241,61,70100,388
E09000022,Lambeth,2020,31016,12693.9,169,69.1,51900,581
E09000025,Newham,2020,33219,10043.3,134,59.7,34300,578
E09000028,Southwark,2020,32245,11443.8,294,65.7,55300,567
E09000030,Tower Hamlets,2020,31614,16583.5,319,59,52700,400
E09000031,Waltham Forest,2020,23560,7473.3,85,57.3,37100,261
E09000033,Westminster,2020,48558,12099.5,747,65.4,123000,2162
E09000007,Camden,2019,39785,11727.1,395,60.9,96900,639
E09000012,Hackney,2019,34458,15036.2,150,57.4,47200,275
E09000014,Haringey,2019,32475,9661,83,59,48600,327
E09000019,Islington,2019,30379,16261.3,258,61.7,66100,367
E09000022,Lambeth,2019,36264,12608.3,175,63.8,49100,431
E09000025,Newham,2019,36277,9930.6,126,44,31700,724
E09000028,Southwark,2019,40090,11339.2,307,62,53400,548
E09000030,Tower Hamlets,2019,35367,16363.8,334,60.5,50100,459
E09000031,Waltham Forest,2019,24218,7389.6,89,50.2,34900,133
E09000033,Westminster,2019,82897,12031.1,784,65.5,118000,2757
E09000007,Camden,2018,35606,11594.5,391,64.3,87400,815
E09000012,Hackney,2018,31243,14790.3,146,53.4,44900,163
E09000014,Haringey,2018,31031,9604.8,85,53.7,46300,253
E09000019,Islington,2018,28771,16037.7,249,67.1,63900,276
E09000022,Lambeth,2018,35057,12485,172,61.7,47500,363
E09000025,Newham,2018,36008,9758.6,132,48.8,31000,612
E09000028,Southwark,2018,35708,11167,308,64.6,49400,435
E09000030,Tower Hamlets,2018,33641,16035.5,323,54.7,49300,316
E09000031,Waltham Forest,2018,23677,7305.8,84,48.7,33700,137
E09000033,Westminster,2018,63023,11838.6,754,66.7,120000,2512
E09000007,Camden,2017,37892,11453.1,387,59.9,92600,784
E09000012,Hackney,2017,31797,14566.4,134,59.3,43100,171
E09000014,Haringey,2017,30314,9541,86,54,43800,212
E09000019,Islington,2017,32167,15842.7,239,61.7,62100,176
E09000022,Lambeth,2017,34923,12352,174,67.2,45600,279
E09000025,Newham,2017,34514,9598.4,121,41.5,30000,418
E09000028,Southwark,2017,34079,11008.8,296,63,48600,309
E09000030,Tower Hamlets,2017,31977,15724.2,307,47.3,46600,375
E09000031,Waltham Forest,2017,22767,7216.3,83,43.9,31900,94
E09000033,Westminster,2017,57049,11637.2,733,62.3,124000,2165
E09000007,Camden,2016,30130,11298.2,382,58.8,88000,702
E09000012,Hackney,2016,29139,14379.8,137,54.9,40600,134
E09000014,Haringey,2016,28203,9438,84,52.4,39900,146
E09000019,Islington,2016,27814,15697.9,244,58.1,59500,178
E09000022,Lambeth,2016,35481,12243.1,166,64.4,43900,355
E09000025,Newham,2016,31180,9459.8,120,48,28200,396
E09000028,Southwark,2016,32528,10874.7,288,59.6,45400,318
E09000030,Tower Hamlets,2016,30650,15445.3,295,52.5,46600,445
E09000031,Waltham Forest,2016,21425,7124.8,81,45.6,30300,82
E09000033,Westminster,2016,50133,11523.9,743,62.1,107000,2767
E09000007,Camden,2015,30292,11063.1,373,61.1,85000,641
E09000012,Hackney,2015,27256,14142.7,130,49.2,40200,148
E09000014,Haringey,2015,25442,9249.2,87,49.3,41700,135
E09000019,Islington,2015,28128,15349.7,243,62.7,58900,158
E09000022,Lambeth,2015,34484,12113.3,178,65,43700,445
E09000025,Newham,2015,30207,9234.4,110,43.3,27300,260
E09000028,Southwark,2015,31164,10725,277,56.9,44200,372
E09000030,Tower Hamlets,2015,28527,14959,287,45.8,45000,395
E09000031,Waltham Forest,2015,21573,7004.4,81,42.6,29400,139
E09000033,Westminster,2015,48983,11276.5,743,63.2,109000,2857
E09000007,Camden,2014,27880,10778,372,60.6,79200,563
E09000012,Hackney,2014,25167,13835.1,127,48.3,37100,155
E09000014,Haringey,2014,23522,9069.4,87,46.4,39500,100
E09000019,Islington,2014,25614,14901.3,226,58.9,56800,135
E09000022,Lambeth,2014,33026,11881.5,175,62,41100,468
E09000025,Newham,2014,28765,8999.7,110,36.7,25400,221
E09000028,Southwark,2014,29838,10504.5,273,58.7,41600,373
E09000030,Tower Hamlets,2014,26642,14391.8,274,44.3,41800,377
E09000031,Waltham Forest,2014,20799,6923.2,82,43.9,28200,118
E09000033,Westminster,2014,49147,10857.4,727,66.1,104000,2570
E09000007,Camden,2013,30102,10542.7,351,59.9,78900,501
E09000012,Hackney,2013,26619,13532.2,108,47,36300,141
E09000014,Haringey,2013,21828,8929,80,52.6,39100,84
E09000019,Islington,2013,25189,14540.6,218,58.1,51900,163
E09000022,Lambeth,2013,33041,11733.3,164,62,40600,427
E09000025,Newham,2013,28996,8831.3,102,38.9,24800,202
E09000028,Southwark,2013,32405,10363.4,250,55.7,40500,391
E09000030,Tower Hamlets,2013,27811,13829.4,267,46.7,40800,324
E09000031,Waltham Forest,2013,22414,6865.9,79,44.5,27000,75
E09000033,Westminster,2013,56232,10557.1,711,62.8,107000,2197
E09000007,Camden,2012,33520,10324.4,335,59.5,71200,467
E09000012,Hackney,2012,28499,13256.1,109,47.2,32700,103
E09000014,Haringey,2012,24722,8777.8,77,52.1,35400,85
E09000019,Islington,2012,27874,14229.3,203,57.5,48400,180
E09000022,Lambeth,2012,35833,11582.5,148,54.8,37600,584
E09000025,Newham,2012,32558,8716.9,97,38.8,23100,124
E09000028,Southwark,2012,32704,10192.4,256,55.3,37500,394
E09000030,Tower Hamlets,2012,29495,13329.6,251,49.4,39000,331
E09000031,Waltham Forest,2012,24300,6782.7,76,41.3,26200,72
E09000033,Westminster,2012,63404,10418.3,684,61.5,92200,2440
E09000007,Camden,2011,35889,10100.7,324,55.2,69300,398
E09000012,Hackney,2011,27500,12996.9,109,47.6,31200,81
E09000014,Haringey,2011,25214,8663.9,73,50.4,34600,43
E09000019,Islington,2011,27267,13908.9,196,58.7,47200,171
E09000022,Lambeth,2011,36732,11369.2,146,59,35700,309
E09000025,Newham,2011,31402,8616.7,88,39.2,22000,79
E09000028,Southwark,2011,34769,10025.7,236,53.4,36500,417
E09000030,Tower Hamlets,2011,29138,12976.2,248,46.2,38200,262
E09000031,Waltham Forest,2011,25482,6709.9,70,38.4,25300,46
E09000033,Westminster,2011,65854,10219.3,660,60.1,88200,2554
E09000007,Camden,2010,25107,9854.6,310,55.3,67100,752
E09000012,Hackney,2010,21032,12690.4,103,42.4,29500,65
E09000014,Haringey,2010,18559,8539,72,42.4,32900,59
E09000019,Islington,2010,20834,13470.7,200,56.1,47600,308
E09000022,Lambeth,2010,26725,11102.2,149,53.9,34200,709
E09000025,Newham,2010,26040,8264.8,81,27.9,21700,38
E09000028,Southwark,2010,27697,9832.2,225,49,35400,812
E09000030,Tower Hamlets,2010,21509,12563.4,225,39.7,37400,542
E09000031,Waltham Forest,2010,20732,6545.3,67,31.4,24400,27
E09000033,Westminster,2010,47509,10107.8,654,55.9,83400,4017
